1, DEVON PETERSON, 3-4-5, 3, Welterweight, 0
2, CEDRIC ROSE, 1-1-0, 1, Lightweight, 0
3, KEENAN GRAY, 5-6-2, 5, Lightweight, 0
4, MARK TURNER, 3-5-2, 3, Welterweight, 0
5, HOYT AUSTIN, 3-4-0, 3, Middleweight, 1
6, DIRK RAY, 6-6-2, 6, Welterweight, 0
7, WINFORD MEYER, 3-5-5, 3, Light Heavyweight, 1
8, LYNN REYES, 3-8-2, 3, Heavyweight, 1
9, ARLIE WILSON, 4-2-2, 4, Welterweight, 1
10, RUSTY JACKSON, 3-5-1, 3, Middleweight, 0
11, DERRICK CARTER, 1-2-4, 1, Middleweight, 1
12, CORTEZ MASON, 3-3-3, 3, Light Heavyweight, 0
13, DOMINIC TORRES, 3-6-1, 3, Middleweight, 1
14, JIMMY RUSSELL, 5-1-3, 5, Light Heavyweight, 0
15, MARCO SMITH, 4-6-5, 4, Heavyweight, 1
16, DINO DUDAS, 3-5-1, 3, Lightweight, 1
17, DAMION LARSON, 1-4-1, 1, Middleweight, 1
18, LEOPOLDO DELUCCA, 3-5-1, 3, Middleweight, 0
19, JEAN DAY, 4-2-0, 4, Light Heavyweight, 0
20, FREDERIC HART, 4-6-1, 4, Heavyweight, 1
21, REYES JOHNSTON, 8-1-1, 8, Welterweight, 1
22, LAUREN MARTIN, 0-4-2, 0, Welterweight, 0
23, CODY FISHBEIN, 6-3-4, 6, Light Heavyweight, 0
24, ELIJAH GREEN, 4-3-1, 4, Heavyweight, 0
25, ROGER OLSON, 5-3-2, 5, Lightweight, 1
26, EDWARD WASHINGTON, 4-4-1, 4, Lightweight, 1
27, KRIS WATKINS, 7-3-0, 7, Welterweight, 1
28, ENOCH COLLINS, 7-7-1, 7, Light Heavyweight, 0
29, WILBURN WATKINS, 1-3-3, 1, Light Heavyweight, 1
30, FORREST DIMMITT, 2-6-3, 2, Light Heavyweight, 1
31, TAYLOR FARQUHARSON, 2-5-4, 2, Middleweight, 1
32, ORVILLE DRESHER, 4-4-4, 4, Heavyweight, 1
33, JEROME REED, 2-8-4, 2, Light Heavyweight, 0
34, SHAWN ENZ, 6-4-5, 6, Welterweight, 1
35, DELMER GEORGE, 3-3-2, 3, Welterweight, 1
36, KENTON DUDAS, 1-2-3, 1, Lightweight, 0
37, GARRETT RUSSELL, 4-4-4, 4, Heavyweight, 1
