1, And the winner by KO... YONG PHILLIPS, 1-0-0, 0-1-0
2, And the winner by KO... PHIL GIBSON, 1-0-0, 0-1-0
3, And the winner by KO... JOHNNIE BLACK, 1-0-0, 0-1-0
4, And the winner by KO... ALLAN STEVENS, 0-1-0, 1-0-0
5, And the winner by KO... ANGELO TAYLOR, 0-1-0, 1-0-0
6, It's a Draw!!, 0-0-1, 0-0-1
7, And the winner by KO... JULES ARNOLD, 1-0-0, 0-1-0
8, And the winner by KO... SHELDON RAMOS, 1-0-0, 0-1-0
9, And the winner by KO... ELVIS DUNN, 1-0-0, 0-1-0
10, It's a Draw!!, 0-0-1, 0-0-1
11, And the winner by KO... DENNIS FIELDS, 1-0-0, 0-1-0
12, And the winner by KO... ALBERTO WRIGHT, 1-0-0, 0-1-0
13, And the winner by KO... FRITZ EDDINGER, 1-0-0, 0-1-0
14, And the winner by KO... ANTONY LYNCH, 0-1-0, 1-0-0
15, It's a Draw!!, 0-0-1, 0-0-1
16, It's a Draw!!, 0-0-1, 0-0-1
17, And the winner by KO... ANDERSON DENMON, 1-0-0, 0-1-0
18, And the winner by KO... ORLANDO NICHOLS, 1-0-0, 0-1-0
19, And the winner by KO... FRANCES NICHOLS, 1-0-0, 0-1-0
20, And the winner by KO... CLEVELAND GILBERT, 0-1-0, 1-0-0
21, And the winner by KO... LINDSEY REYNOLDS, 0-1-0, 1-0-0
22, It's a Draw!!, 0-0-1, 0-0-1
23, It's a Draw!!, 0-0-1, 0-0-1
24, And the winner by KO... BEAU BRADLEY, 0-1-0, 1-0-0
25, And the winner by KO... DARREN ARNOLD, 0-1-0, 1-0-0
26, And the winner by KO... NICHOLAS RUIZ, 0-1-0, 1-0-0
27, It's a Draw!!, 0-0-1, 0-0-1
28, And the winner by KO... LUCIUS FEOLA, 1-0-0, 0-1-0
29, And the winner by KO... REGGIE DUDEN, 1-0-0, 0-1-0
30, And the winner by KO... ALFONSO LITTLE, 0-1-0, 1-0-0
31, And the winner by KO... ROCKY HERNANDEZ, 0-1-0, 1-0-0
32, And the winner by KO... ISAAC ARMSTRONG, 1-0-0, 0-1-0
33, And the winner by KO... MAJOR LOPEZ, 1-0-0, 0-1-0
34, And the winner by KO... GERRY DENMON, 1-0-0, 0-1-0
35, It's a Draw!!, 0-0-1, 0-0-1
36, And the winner by KO... ANGELO TAYLOR, 2-0-0, 0-1-0
37, It's a Draw!!, 0-0-1, 0-1-1
38, And the winner by KO... DEON HALL, 0-1-0, 1-0-0
39, And the winner by KO... WARNER HUNT, 0-1-0, 1-0-0
40, And the winner by KO... JONATHAN SCHMIDT, 0-1-0, 1-0-0
41, And the winner by KO... ALFRED PERKINS, 0-1-0, 1-0-0
42, And the winner by KO... WADE DEVALLE, 0-1-0, 1-0-0
43, And the winner by KO... EDWIN ENRIQUES, 1-0-0, 0-1-0
44, And the winner by KO... BRET REYNOLDS, 0-1-0, 1-0-0
45, And the winner by KO... SHERWOOD BROOKS, 0-1-0, 1-0-0
46, And the winner by KO... BRENDAN PEARSON, 1-0-0, 0-1-0
47, And the winner by KO... RON HOWARD, 1-0-0, 0-1-0
48, And the winner by KO... JEROMY BURKE, 1-0-0, 0-1-0
49, And the winner by KO... MAX PERRY, 0-1-0, 1-0-0
50, And the winner by KO... TREVOR WHEELER, 1-0-0, 0-1-0
51, And the winner by KO... CONRAD EAGAR, 0-1-0, 1-0-0
52, And the winner by KO... HOYT FOWLER, 1-0-0, 0-1-0
53, And the winner by KO... BO LAWRENCE, 0-1-0, 1-0-0
54, And the winner by KO... BRENTON ENRIQUES, 0-1-0, 1-0-0
55, And the winner by KO... EMERSON WELCH, 0-1-0, 1-0-0
56, And the winner by KO... HOYT DOUGLAS, 0-1-0, 1-0-0
57, And the winner by KO... LESTER BREWER, 1-0-0, 0-1-0
58, And the winner by KO... RAUL FAUSNAUGHT, 1-0-0, 0-1-0
59, And the winner by KO... RON HOFFMAN, 1-0-0, 0-1-0
60, And the winner by KO... BRITT RYAN, 0-1-0, 1-0-0
61, And the winner by KO... IKE DENMON, 1-0-0, 0-1-0
62, And the winner by KO... RODRICK MEDINA, 1-0-0, 0-1-0
63, And the winner by KO... ASA HALL, 1-0-0, 0-1-0
64, And the winner by KO... HERSCHEL MORRIS, 1-0-0, 0-1-0
65, And the winner by KO... MAXWELL DUENES, 1-1-0, 0-1-0
66, And the winner by KO... DEAN RODRIGUEZ, 1-0-0, 0-1-0
67, And the winner by KO... MINH JACKSON, 1-0-0, 0-1-0
68, It's a Draw!!, 0-0-2, 0-0-1
69, And the winner by KO... THADDEUS EVANS, 0-1-0, 1-0-0
70, And the winner by KO... RON TORRES, 0-1-0, 1-0-0
71, And the winner by KO... MYLES FRAZIER, 1-0-0, 0-1-0
72, And the winner by KO... DEREK FIELDS, 0-1-0, 1-0-0
73, And the winner by KO... FRANKLIN ENZ, 1-0-0, 0-1-0
74, And the winner by KO... HENRY HARPER, 0-2-0, 1-0-0
75, And the winner by KO... TERRY BUTLER, 1-1-0, 0-1-0
76, And the winner by KO... TY GARCIA, 0-1-0, 1-0-0
77, And the winner by KO... SAMMY ALVAREZ, 1-0-0, 0-1-1
78, And the winner by KO... FELIPE GORDON, 1-0-0, 0-1-0
79, And the winner by KO... WILL ESTRIDGE, 1-0-0, 0-1-0
80, And the winner by KO... GINO HOLMES, 0-1-0, 1-0-0
81, And the winner by KO... WINFRED RICHARDS, 1-0-0, 0-1-0
82, And the winner by KO... BENITO DOBROWOLSKI, 1-1-0, 0-2-0
83, And the winner by KO... EMERSON WELCH, 1-1-0, 2-0-0
84, And the winner by KO... JIM HOWARD, 0-1-0, 1-0-0
85, And the winner by KO... MICHAL RAY, 0-1-0, 1-0-0
86, It's a Draw!!, 0-0-1, 0-0-1
87, And the winner by KO... VIRGILIO GARDNER, 0-1-0, 1-0-0
88, And the winner by KO... KENNITH HANSON, 0-1-0, 1-0-0
89, And the winner by KO... BEN GRANT, 0-1-0, 1-0-0
90, And the winner by KO... DARREN ARNOLD, 0-1-0, 2-0-0
91, And the winner by KO... MOHAMMAD WILSON, 1-0-0, 1-1-0
92, And the winner by KO... ERNESTO FARQUHARSON, 0-1-0, 1-0-0
93, And the winner by KO... FRED CHAVEZ, 1-0-0, 0-1-0
94, And the winner by KO... EMERY EAKLE, 1-0-0, 0-1-0
95, And the winner by KO... STACEY BOYD, 0-1-0, 1-0-0
96, It's a Draw!!, 0-0-1, 0-0-1
97, It's a Draw!!, 0-0-1, 0-0-1
98, And the winner by KO... WINFRED RICHARDS, 2-0-0, 0-1-0
99, It's a Draw!!, 0-1-1, 0-0-1
100, It's a Draw!!, 0-0-1, 0-0-1
101, And the winner by KO... RUBEN DEMSKI, 0-1-0, 1-0-0
102, And the winner by KO... JESUS FILICE, 1-1-0, 0-1-0
103, And the winner by KO... LEE SIMMONS, 0-1-0, 1-0-0
104, It's a Draw!!, 0-0-1, 0-0-1
105, And the winner by KO... JOAN ARMSTRONG, 0-1-0, 1-0-0
106, It's a Draw!!, 0-0-1, 0-0-1
107, And the winner by KO... OTIS CASTILLO, 0-1-0, 1-0-0
108, It's a Draw!!, 0-0-2, 0-1-1
109, And the winner by KO... THAD FORD, 0-1-0, 1-0-1
110, And the winner by KO... DANNIE FILMORE, 1-0-0, 0-1-0
111, It's a Draw!!, 0-0-1, 0-0-2
