1, Paris, Lightweight, 1
2, London, Lightweight, 0
3, Dublin, Lightweight, 1
4, Paris, Lightweight, 0
5, New York, Lightweight, 0
6, Las Vegas, Lightweight, 1
7, Las Vegas, Lightweight, 0
8, Los Angeles, Lightweight, 1
9, New York, Lightweight, 0
10, Los Angeles, Lightweight, 1
11, London, Lightweight, 0
12, Denver, Lightweight, 0
13, Los Angeles, Lightweight, 0
14, Denver, Lightweight, 1
15, Denver, Lightweight, 1
16, Paris, Lightweight, 1
17, Denver, Lightweight, 1
18, Las Vegas, Lightweight, 0
19, Denver, Lightweight, 1
20, Los Angeles, Lightweight, 0
21, Seattle, Lightweight, 1
22, London, Lightweight, 0
23, New York, Lightweight, 1
24, Las Vegas, Lightweight, 0
25, London, Lightweight, 1
26, Paris, Lightweight, 1
27, Las Vegas, Lightweight, 0
28, Los Angeles, Lightweight, 0
29, Paris, Lightweight, 1
30, Seattle, Lightweight, 1
31, London, Lightweight, 0
32, Denver, Lightweight, 1
33, New York, Lightweight, 0
34, Denver, Lightweight, 1
35, Paris, Lightweight, 0
36, Seattle, Lightweight, 0
37, Seattle, Lightweight, 1
38, London, Lightweight, 0
39, Los Angeles, Lightweight, 1
40, Denver, Lightweight, 0
41, Los Angeles, Lightweight, 1
42, New York, Lightweight, 0
43, Seattle, Lightweight, 1
44, Las Vegas, Lightweight, 0
45, Dublin, Lightweight, 0
46, Seattle, Lightweight, 1
47, New York, Lightweight, 0
48, New York, Lightweight, 1
49, London, Lightweight, 0
50, Denver, Lightweight, 0
51, Seattle, Lightweight, 0
52, Paris, Lightweight, 1
53, Dublin, Lightweight, 0
54, Dublin, Lightweight, 0
55, Las Vegas, Lightweight, 1
56, London, Lightweight, 1
57, Seattle, Lightweight, 0
58, Denver, Lightweight, 1
59, Denver, Lightweight, 0
60, Las Vegas, Lightweight, 0
61, Los Angeles, Lightweight, 1
62, Denver, Lightweight, 1
63, Las Vegas, Lightweight, 1
64, London, Lightweight, 0
65, London, Lightweight, 0
66, Paris, Lightweight, 1
67, Paris, Lightweight, 0
68, Denver, Lightweight, 1
69, Paris, Lightweight, 1
70, Dublin, Lightweight, 1
71, Los Angeles, Lightweight, 0
72, Seattle, Lightweight, 1
73, Los Angeles, Lightweight, 1
74, Las Vegas, Lightweight, 0
75, London, Lightweight, 1
76, Denver, Lightweight, 0
77, Seattle, Lightweight, 1
78, Denver, Lightweight, 1
79, Paris, Lightweight, 0
80, Dublin, Lightweight, 1
81, London, Lightweight, 0
82, Las Vegas, Lightweight, 1
83, London, Lightweight, 0
84, Las Vegas, Lightweight, 0
85, London, Lightweight, 1
86, Dublin, Lightweight, 0
87, London, Lightweight, 1
88, New York, Lightweight, 0
89, Seattle, Lightweight, 1
90, London, Lightweight, 1
91, Las Vegas, Lightweight, 0
92, Dublin, Lightweight, 0
93, Los Angeles, Lightweight, 0
94, Las Vegas, Lightweight, 1
95, Seattle, Lightweight, 0
96, London, Lightweight, 0
97, Las Vegas, Lightweight, 1
98, Seattle, Lightweight, 1
99, Las Vegas, Lightweight, 0
100, Paris, Lightweight, 1
101, London, Lightweight, 0
102, Dublin, Lightweight, 1
103, Los Angeles, Lightweight, 1
104, Dublin, Lightweight, 1
105, London, Lightweight, 1
106, Los Angeles, Lightweight, 0
107, Seattle, Lightweight, 0
108, London, Lightweight, 1
109, Paris, Lightweight, 1
110, Las Vegas, Lightweight, 1
111, Los Angeles, Lightweight, 0
112, Seattle, Lightweight, 0
113, Seattle, Lightweight, 1
114, Los Angeles, Lightweight, 0
115, Seattle, Lightweight, 0
116, Dublin, Lightweight, 1
117, Paris, Lightweight, 0
118, Paris, Lightweight, 1
119, Paris, Lightweight, 0
